name,price,img
Écouteur avec casque à affichage numérique tactile 5.0 Bluetooth avec chargeur de téléphone d'alimentation,137.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/959743/1.jpg?7906
TWS écouteurs i12 tws noir Touch Control sans fil Bluetooth 5.0 avec pour IOS Et Android,84.98 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/157953/1.jpg?5687
Edifier X3 Écouteur Bluetooth Sans Fil assistant vocal bluetooth 5.0 assistant vocal à commande tactile,228.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/960183/1.jpg?5450
écouteur bluetooth Air Pro 5 Bluetooth 5.0 Airpods renommer le capteur intra-auriculaire,107.99 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/894214/1.jpg?5154
"Samsung Galaxy M11 6.4"" (32Go, 3Go) Android 13MP+2MP+5MP/8MP - Bleu","1,199.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/294663/1.jpg?4532
M5 Smart  Bracelet Smartwatch Fitness Tracker - Noir,89.99 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/930093/1.jpg?7985
Amoi Écouteurs Bluetooth + Batterie 2000mAh - Noir,131.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/857753/1.jpg?7193
"Samsung Galaxy A21s Noir 4GB RAM / 64G Storage 6,5"" 5,000mA","1,620.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/911693/1.jpg?0266
TWS F9-5 écouteurs sans fil Bluetooth avec Power bank LED digital,143.96 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/451883/1.jpg?5926
"Samsung Galaxy A01 Core 5.3 "" (16Go, 1Go) 8MP/5MP Android 10 - red",699.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/687863/1.jpg?5475
TWS i12 Tws Écouteurs Bluetooth 5.0 Wireless headphones  avec boîte de charge pour tous les téléphones,77.96 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/351973/1.jpg?5449
